Text,Solving a communicative task,Text structure,Use of English (for emails),Overall_score
"Hi George,
Thanks for your letter. Your quick answers always make me so happy!
It's good news that you're interested in ecotourism. As for your questions, I love the idea of ecotourism. I think it's essential to support it in the modern world. Ecotourism is gaining its popularity in my country because more and more people are becoming aware that we need to protect our environment. Ecotourism offers us an opportunity to learn more about our natural world and live in harmony.
By the way, tell me more about your youth camp. Where is it located? What activities have you had in your camp? What do you like the most about that youth camp?
Write me back ASAP!
Best wishes,
Karina",2.0,2.0,2.0,6
"Dear George,
Thanks for your last email. It was great to hear from you again! I hope everything is fine with you.
You asked me some questions about ecotourism, so let me answer them. As for me, I find ecotourism really interesting, because it shows people how to travel without making a harm for the nature. I think that ecotourism isn't so popular in Russia now, because we don't have many companies who can propose that. You also asked me about new opportunities which ecotourism does. To my mind, ecotourism helps to save our planet clean and it shows new ways of travelling.
Interesting news about your visiting a youth camp! How many days did it take? Is it an annual event? Was this camp mostly outdoors or indoors?
Sorry, I have to go - Mum's calling me. 
Write back soon!
Love, 
Sonya",2.0,2.0,2.0,6
"Dear Olivia, 

Thank you for your e-mail. I’m always excited to get messages from you. 

In your e-mail you asked me about my health. Well, I walk a lot, wear suitable clothes and do exercises, these things help me not to catch a cold. I think that a healthy lifestyle for me is a good shuteye and regularly workouts. Speaking of how can I catch up with the class if I fall ill, I call my friends and ask them about homework. My friends are always glad to help me to keep up with the class. 

By the way tell me more about your cousin. How old is she? Where is she from? How does she look like?

Well, that’s all for now. Write back soon. 

Best wishes, 

Vasilisa 
",2.0,2.0,1.0,5
"Dear Lucas, 

Thank you for your email. I’m always excited to get messages from you. 

In your email you asked me about household chores +. Yes, I hate doing some chores as wash the dishes or dust the furniture. + (As for paying kids, I think that it's a good idea) To pay kids for doing domestic chores is a good idea. I think, if my parents pay me for doing household duties, I’ll do it often and better.  Speaking about some reasons why kids should help out around the house, doing domestic chores develop responsibility, kids and parents should share their chores equally. Also, doing household chores is crucial for people’s health. 

By the way, tell me more about the book. What colour is the book? What the name of the book? How many pages in it? 

That’s all for now. Write back soon. 

Best wishes, 

Vasilisa 
",2.0,2.0,0.0,4
"Dear Jerald, 

Thank you for your email. I’m always excited to get messages from you. 

In your email you asked me about environmental issues . Well, I take part in litter picking events, last Saturday I helped to take rubbish in the park . Russians recycle household waste, reduce the number of cars on the roads, try to stop deforestation, all these activities help restore our planet. It's a tricky question, I hope our planet will look more green and clean, there will be numerous trees, pour lakes and rivers. 

By the way, tell me more about the museum. What kind of museum is it ? Is it a gallery or a historical museum? How many halls are there in the museum? Are there any statues? 

Well, that’s all for now. Write back soon. 

Best wishes, 

Vasilisa 
",2.0,2.0,2.0,6
"Dear Jane,

Thank you for your email. I’m always excited to get messages from you.

In your email you asked me about travelling. Well, I can’t say that I have travelled much around Russia, but I'd like to do it this summer. I’d like to go to Kamchatka because of its unique nature, there are a lot of volcanoes, geysers and rivers. I live in the perfect place. Nature is picturesque here, with a lot of waterfalls and deep lakes. 

By the way, tell me more about the trip to the mountains. What do you want to do there? Is it your first trip to the mountain?  Are you going to climb the mountain?

Well, that’s all for now. Write back soon.

Best wishes,

Vasilisa
",1.0,2.0,2.0,5
"Dear Mary,

Thank you for your email. I’m always excited to get messages from you.

In your email you asked me about travelling. Well, I know  the famous waterfall in Karelia -  Water Bridges. This waterfall is one  the largest in Karelia. Unfortunately, I haven’t gone rafting but I want to try on the river Suna. I like extreme sports, they help us to combat stress and recharge our batteries. 

By the way, tell me more about your trip to Greece. How long is your trip?
Are you going to stay in the hotel or rent an apartment? Are you going alone or with parents?

Well, that’s all for now. Write back soon.

Best wishes,

Vasilisa

",2.0,2.0,0.0,4
"Dear Dave, 

Thank you for your email. I’m always excited to get messages from you. 

In your email you asked me about horse riding . Unfortunately, I have never tried to ride a horse but I think it's an awesome opportunity to relax. Riding isn’t a popular hobby in my region, there is so cold for horses, we use deers as a form of transport. Well, fishing and active games as well as football, kykka are popular among teens in my region. I like them too.

By the way, tell me more about the present. Is it big or small? What is it? Is it a horse? How much did it cost? 

That’s all for now. Write back soon.

Best wishes, 

Vasilisa 

",2.0,2.0,2.0,6
"Dear Gloria, 

Thank you for your email. I’m always excited to get messages from you. 

In your email you asked me about moving. I’m so glad for your moving to California! Well, I have moved from one place to another only one time, it was two years before because of my father’s job. Speaking about the house of my dreams, it would be a one floor house with 5 rooms, it would be in traditional style near the forest. So, I’m not able to decide where I’d like to live when I grow up, in the city or in town. 

By the way, tell me more about a vegetable garden. Is the vegetable garden huge or narrow? What kinds of plants are growing there? How many plants are growing there? 

That’s all for now. Write back soon. 

Best wishes, 

Vasilisa 
",1.0,2.0,1.0,4
"Dear Rosie, 

Thank you for your email. I’m always excited to get messages from you. 

In your email you asked me about the surroundings. Well, I live in a small town with an interesting history, because of that we have a museum, monuments and old buildings, and tourists like to visit it. I think having a week-long vacation in my town is a great ability to visit all the sights. Speaking of the season to visit, it is winter exactly because citizens decorate trees and buildings, everything looks wonderful. 

By the way, tell me more about the school theatre club. How many students are there? What are repertoires there? When will be the next performance? 

That’s all for now. Write back soon. 

Best wishes, 

Vasilisa 
",2.0,2.0,1.0,5
"Dear Sophie, 

Thank you for your email. I’m always excited to get messages from you. 

In your email you asked me about school trips. Well, my history teacher often takes my classmates and me to historical museums or to military museums on school trips. I like to go to other cities and visit museums but I seldom go on school trips.  However, I remember the most unforgettable trip to Moscow, it was last autumn. On this trip my best friends and I bought a very expensive perfume, one bottle for three girls but it wasn’t a problem. In the train our classmate accidentally broke a bottle of perfume, it was the real problem. 

By the way, tell me more about your parrot. What colour is it? Is it big or small? How old is it? 

That’s all for now. Write back soon. 

Best wishes, 

Vasilisa 
",2.0,2.0,0.0,4
"Dear Marge, 

Thank you for your email. I’m always excited to get messages from you. 

In your email you asked me about languages. Well, I think it’s essential to speak foreign languages to make a career because knowing languages is a good opportunity to get a promotion. Speaking of my knowledge of languages, I know only Russian but I’m practising every day and learning English because I want to talk with people without the language barrier, bacides, my dream is to be multi-lingual. I want to work in an international company and to be a translator and to conduct negotiations.

By the way, tell me more about your friends. How old are they? What are their hobbies? What are their names? 

That’s all for now. Write back soon. 

Best wishes, 

Vasilisa 
",2.0,2.0,2.0,6
"Dear Susan, 

Thank you for your e-mail. I’m always excited to get messages from you. 

In your e-mail you asked me about clothes. Well, I think it's a great idea to go to the shopping center and buy new clothes. Speaking of the latest fashion in my country, I reckon knitting plain sweaters and black trousers were on the last fashion show. My friends are fashionable, they like to dress up. My besties wear elegant dresses or fashionable jeans with shirts and pullovers, style “clever girl”.

By the way, tell me more about your kitten. What is the colour of its fur? How old is it? How did you name it? Is it a thoroughbred?
 
That’s all for now. Write back soon. 

Best wishes, 
 
Vasilisa 
",2.0,2.0,1.0,5
"Dear Susan, 

Thank you for your email, I’m always excited to get messages from you. 

In your email you asked me about clothes. Well, I remember that the weather was sunny all the time. I think sunny weather is usually weather in this season. Speaking of clothes for holiday, my friends and I wear plain linen dresses or white T-shirts and light-brown trousers.I think you need to take simple clothes for everyday and elegant clothes for going to restaurant. If you want to swim, you need to take a swimsuit. 

By the way, tell me more about the fancy dress party. What did you wear? Did you wear ridiculous clothes? What was the reason for the party? Who was invited?

That’s all for now. Write back soon. 

Best wishes, 

Vasilisa 
",1.0,2.0,1.0,4
"Dear Alice, 

Thank you for your email. I am always excited to get messages from you. 

In your email you asked me about sorting out your bedroom. Well, my bedroom isn’t a messy room because I clean there. Usually I sort out my room every Saturday, however I can dust the furniture and clean the desk every day. Speaking of speed-cleaning tips, I make a to-do list, after write household chores and do all of them. It helps me to concentrate on the cleaning. 

By the way, tell me more about the new supermarket . Is it a grocery supermarket? Are there any domestic appliances? What time does the supermarket open? 

That’s all for now. Write back soon. 

Best wishes, 

Vasilisa +
",2.0,1.0,2.0,5
"Dear Barbara, 

Thank you for your email. I am always excited to get messages from you. 

In your email you asked me about my house. Well, I live in a wooden detached house, it’s an airy home with two floors. My favourite place at home is my room. There’s a sloping ceiling, green walls and I have two windows because of that my room is bright all day. I have white furniture, a cozy armchair and bed. Speaking of my future home, I want to live in the biggest villa on the Mediterranean coast, where there will be fresh air, sea waves and freedom.

By the way, tell me more about your room. Is it a bright or a dark place? Is it big or small? What colour is your room?

That’s all for now. Write back soon. 

Best wishes, 

Vasilisa 
",1.0,2.0,2.0,5
"Dear Mark, 

Thank you for your message. I’m always excited to get emails from you. 

In your email you asked me about my household chores +. Well, I am responsible for dusting the furniture, mopping the floors and watering the flowers. + I don’t mind doing that because I help my mother around the house. Cleaning makes me happy. Although I can’t stand washing the dishes because it is tiresome, I prefer to load the dishwasher.

By the way, tell me more about your father’s new lawn mower. What colour is it? How does it work? Is it an electric or gas lawn mower? 

That’s all for now. Write back soon. 

Best wishes, 

Vasilisa 
",2.0,2.0,2.0,6
"Dear Ralph,

Thank you for your email. I’m always excited to get messages from you. 

In your email you asked me about family. I have arguments with my mother she worries about me and my health because I'm sitting all evening preparing to take my exams. Because of that we fall out. Well, I start to do exercises after work and my parents like to tell me words of encouragement, they support me in this activity. I know I have a shoulder to cry on when I have problems with studying or health.

By the way, tell me more about a new girl. How old is she? What are your hobbies? Is she an extrovert or an introvert? 

That’s all for now. Write back soon. 

Best wishes, 

Vasilisa 
",2.0,2.0,1.0,5
"Dear Andy, 
Thank you for your email. I’m always excited to get messages  from you. 

Okay, in your message you asked me about my friends and family. I'm a sociable person and I make friends easily. Usually I meet friends in the library. I like to talk to peoplefirst, asking about their favourite genre of books. We are talking and giving phone numbers to each other. Speaking of online friends, I'm chatting with 5 or 6 of them, others are strangers. I like to write to my friend from Kazan and ask him about his job. He's a train driver. Personally, I think that online friends are better than real ones. They and I have more common interests real friends. 

By the way, tell me more about your sister’s wedding. What kind of dress is she wearing? Where is she celebrating this event? Is she embarrassed before the wedding?

That’s all for now. Write back soon! 

Best wishes, 

Vasilisa 
",1.0,2.0,1.0,4
"Dear Nora, 

Thank you for your e-mail. I’m always excited to get messages from you. 

Well, in your letter you asked me about dreams. So, I like to dream about a university and the best results of my exams. I reckon I need to work hardly, be more concentrated at school and don’t waste a time to watch stupid videos in YouTube. My parents know about all my wishes TTYTT I like to tell them about that, so as I enjoy their reactions. 

By the way, tell me more about your elder brother.
How old is your brother?
What is the color of eyes he has?
Is he an extrovert or introvert?
By the way, tell me more about your elder brother. How old is your brother? What is the color of eyes he has? Is he an extrovert or introvert? 

That’s all for now. Write back soon! 

Best wishes, 

Vasilisa 
",2.0,1.0,0.0,3
"Dear Lucas, 

Thanks for your recent email. I’m always happy to get messages from you! 

In your email you asked me about doing chores. To be honest, I hate doing household duties because I usually spend too much time on it. I think it’s not a good idea to pay kids for doing chores because they can get used to it. In my opinion, kids should help out around the house because this type of work can help them to become more responsible and make their parents’ lives easier. 

By the way, tell me more about the book. What is its genret? What’s the name of the book? How many pages does it have?

I’m sorry, I’m about to stop writing. I need to help my mum now. 

Write back soon. 

Best wishes, 

Kate 
",2.0,2.0,2.0,6
"Dear Dave, 

Thanks for your recent email. I’m always happy to get messages from you! 

In your email you asked me about horse riding and hobbies that are popular with teens in my region. I think horse riding is a good hobby because it’s very exciting. I can say that it’s also quite popular in my region as this hobby helps people to relieve stress. I believe that listening to music and dancing are popular with teens in my region too. 

By the way, tell me more about the present for your friend’s birthday. It is big? How much did it cost? Is it going to be wrapped?

I’m sorry, I’m about to stop writing. I need to help my mum now.  

Write back soon. 

Best wishes, 

Kate 
",2.0,2.0,2.0,6
"Dear Gloria,

Thanks for your recent email! I’m always happy to get messages from you!

In your email you asked me about my experience with moving. Actually, I’ve moved only once but it was very difficult to leave my hometown. As for the house of my dreams, it would be spacious and luxuriously furnished. To be honest, I’d like to live in Moscow when I grow up because I like the atmosphere of this city. 

By the way, tell me more about the vegetable garden in your new place. Is it big or small? Are there any plants now? What sorts of vegetables will be there?

I’m sorry, I’m about to stop writing. I need to help my mum now. 

Write back soon. 

Best wishes, 

Kate 
",2.0,2.0,2.0,6
"Dear Marge, 

Thanks for your recent email. I’m always happy to get messages from you! 

In your email you asked me about languages and their importance in making a career. Well, I’m absolutely sure that foreign languages can help people to get a good job. It’s also a great opportunity to get a promotion. As for me, I speak English and French. I would like to use them in my work because they help to communicate with the colleagues around the world. 

By the way, tell me more about your friends. What are your friends’ names? What languages do they speak? How old are they? 

I’m sorry, I’m about to stop writing. I need to help my mum now. 

Write back soon. 

Best wishes, 

Kate 
",2.0,2.0,2.0,6
"Dear Susan, 

Thanks for your recent email. I’m always happy to get messages from you! 

In your email you asked me about your idea of going shopping and fashion in Russia. Well, I think that it’s a good opportunity for you to buy new trendy clothes! As for Russian people, now most of them are wearing casual and oversized clothes because they’re very comfortable. Of course, my friends also love to be trendy so they prefer baggy and simple clothes.

By the way, tell me more about your kitten. What is your kitten’s name? What is its colour? Is it small?

I’m sorry, I’m about to stop writing. I need to help my mum now. 

Write back soon!

Best wishes, 

Kate 
",2.0,1.0,2.0,5
"Dear Susan, 

Thanks for your recent email! I was glad to hear from you. 

In your email you asked me about the weather in Athens and clothes that you can wear there. I can say that the weather is hot there in summer. Well, my friends and I usually wear stylish yet comfy clothes such as different dresses, T-shirts and shorts when we are on holiday. In my opinion, you should take some  dressy clothes because you will need them if you want to visit some restaurants.

By the way, tell me more about the fancy dress party that you visited last weekend. Where did it take place? How many guests were there? Was it full of adventures? 

I’m sorry, I’m about to stop writing. I need to help my mum now. 

Write back soon.

Best wishes,

Kate
",2.0,2.0,2.0,6
"Dear Alice, 

Thanks for your recent email. I was glad to hear from you!

In your email you asked me about my room. I always try to keep it clean because I don’t like when it is full of mess. I sort out my room four times a week. In my opinion, it is better to listen to music when you clean up your room because it helps to make this process faster and funnier.
By the way, tell me more about the new supermarket. Is it big or small? What is the name of the supermarket? Does it offer a big amount of products or not?

I’m sorry, I’m about to stop writing. I need to help my mom now. 

Write back soon. 

Best wishes, 

Kate 
",2.0,2.0,2.0,6
"Dear Barbara, 
 
Thanks for your recent email. I was glad to hear from you! 
 
In your email you asked me about the place where I live. My parents bought a spacious flat with two bedrooms four years ago. I really like it because it is a cozy place with beautiful interior that includes modern furniture. My room is my favourite place at home because there are three bookcases with exciting books that I enjoy reading in my free time. But in future I would like to have a villa with the pool and big garden. 
 
By the way, tell me more about your room. Is it big or small? What does your room look like? Are there any bookcases? 
 
I’m sorry, I’m about to stop writing because I need to help my mum now.
 
Write back soon. 
 
Best wishes, 
 
Kate 
",2.0,2.0,1.0,5
"Dear Mark,

Thanks for your recent email. I was glad to hear from you! 

In your email you asked me about my household chores. Personally, I always help my parents around the house during the week. I usually vacuum the floor, take the rubbish out and dust the furniture. To be honest, I can’t stand doing the vacuuming because I hate the sound of the vacuum machine. It makes me feel so nervous.

By the way, tell me more about your father’s lawn mower. How does it work? What colour is it? Is it easy to use or not? 

I’m sorry, I’m about to stop writing because I need to help my mum now.

Write back soon. 

Best wishes, 

Kate 
",2.0,2.0,2.0,6
"Dear Ralph,

Thanks for your recent email. I was very glad to hear from you. 

In your email you asked me about my relationship with my family. Of course, I sometimes have arguments with my relatives. I can fall out with them because of my problems at school when I get bad marks quite often. We don’t see eye to eye with each other from time to time but my family members always support me when I have problems and help me to solve them.

By the way, tell me more about your new classmate. What is her name? How old is she? What does she look like? 

I’m sorry, I’m about to stop writing because I need to help my mum about the house. 

Write back soon. 

Best wishes, 

Kate 
",2.0,2.0,2.0,6
"Dear Andy, 

Thanks for your recent email. I was very glad to hear from you. 

In your email you asked me about friends. I am very sociable person so I make friends easily everywhere. I like going to the parties where I communicate with lots of people. Also I have some online friends from other cities. Actually, I suppose that friends from the Internet are very reliable people who can give you support in difficult moments of your life. They aren’t worse than real friends because both can lend a hand when you need their help.

How many guests will be there on your sister’s wedding? When will it be? Will it be in the city or on the countryside? 

I’m sorry, I’m about to stop writing because I need to help my mum about the house. 

Write back soon. 

Best wishes, 

Kate 
",2.0,2.0,1.0,5
"Dear Nora, 

Thanks for your recent email. I was very glad to hear from you. 

In your email you asked me about my wishes. Well, I dream of studying in one of the best universities in Russia. As for personal qualities, I think I need to be a hard-working, patient and self-confident person to realise it. + All my relatives know about my dream because I need their support on my way to achieve success.

By the way, tell me more about your elder brother. What is his name? How old is your brother? What does he look like? 

I’m sorry, I’m about to stop writing because I need to help my mum about the house. Write back soon. 

Best wishes, 

Kate ",1.0,2.0,2.0,5
"Dear Dave, 
 
Thanks for your recent e-mail. I'm always excited to get messages from you. 
 
In your e-mail you asked me about my attitude to horse riding. Well, I can say that I adore a horse riding because it is very fascinating. Speaking of popular horse riding in my region, I can say that it is not popular because I live in the north... But skiing and snowboarding are quite popular because in my region winter all year round.

By the way, tell me more about the present. What is the present you buy? How big is it? How much does it cost?

That's all for now. Drop me a line. 
 
Best wishes, 
 
Alex 
",1.0,2.0,0.0,3
"Dear Gloria, 

Thanks for your recent e-mail. I'm always excited to get messages from you. 

In your e-mail you asked me about my moves. Well, I can say that I never move but in a year I will move to St. Petersburg. Speaking of my dream apartment, I dream about maisonette with fashion renovation. Actually, I'd like to live in Portugal because it's a wonderful country with incredible nature. Furthermore, I want to live there because there is a surf center.

By the way, tell me more about vegetable garden. How big is it? What vegetables grow in it? What additives do you use?

That's all for now. Drop me a line. 

Best wishes, 

Alex 
",2.0,2.0,0.0,4
"Dear Cathleen, 

Thanks for your recent e-mail. I'm always excited to get messages from you. 

In your e-mail you asked me about festivals in Russia. Well, I can say that Russia is a big center of different festivals. Speaking of my favorite, I adore Maslenitsa because it is quite an important festival for my country. Maslenitsa wonderful celebration with your own vibe. My family and I always attend it. When we get together, we drink tea, eat pancakes and have a good time. 

By the way, tell me more about pumpkin. How big was it? What was the reaction of the people? Would you like to do it again next year?  

That's all for now. Drop me a line. 

Best wishes, 

Alex 
",1.0,2.0,1.0,4
"Dear Alice, 

Thanks for your recent e-mail. I'm always excited to get messages from you. 

In your e-mail you asked me about my room. Well, actually I have a similar problem. My room is often a mess, especially on the table. Speaking of cleaning, I can say that I tidy up my room twice a week and that is enough . There are questions why I clean so rarely, but the fact is that I know a method for quick cleaning. I can advise you to clean up with the music and combine daily routine with pleasure.

By the way, tell me more about this supermarket. Have you visited this supermarket before? How big is this supermarket? Will you go to the new supermarket or stay in the old one?

That's all for now. Drop me a line. 

Best wishes, 

Alex 
",1.0,2.0,2.0,5
"Dear Ralph, 

Thanks for your recent e-mail. I'm always excited to get messages from you. 

In your e-mail you asked me about arguments with my family. Well, actually I have arguments with my family but quite rarely. In most cases, this is due to household duties and misunderstanding. Speaking of support, I can say that my family always support me no matter what big problems I have. 

By the way, tell me more about this girl. What is she like? How long ago did she come to your class? What attracted you to her? 

That's all for now. Drop me a line. 

Best wishes, 

Alex 
",2.0,2.0,1.0,5
